osmid,lanes,highway,maxspeed,oneway,reversed,length,geometry,name,ref
191031389,2,residential,50,False,True,83.02,"LINESTRING (20.8899986 38.9162021, 20.8903156 38.9154974)",,
570013589,2,tertiary,50,False,False,53.444,"LINESTRING (20.8899986 38.9162021, 20.8903117 38.9163546, 20.8905172 38.9164631)",Καποδίστρια,
570013589,2,tertiary,50,False,True,65.471,"LINESTRING (20.8899986 38.9162021, 20.8896223 38.9160271, 20.8893503 38.9158984)",Καποδίστρια,
1118295739,2,residential,50,False,True,14.749,"LINESTRING (20.8883771 38.9183227, 20.8885469 38.9183345)",Εθνικού Σταδίου,
191031416,1,residential,50,False,True,72.278,"LINESTRING (20.8883771 38.9183227, 20.8884638 38.9178701, 20.8884967 38.9176794)",Πόυντας,
1118295739,2,residential,50,False,False,37.939,"LINESTRING (20.8883771 38.9183227, 20.8882257 38.9183062, 20.8880903 38.9182926, 20.8879441 38.9182697)",Εθνικού Σταδίου,
191031378,2,residential,50,False,True,45.575,"LINESTRING (20.8908259 38.9155991, 20.8903156 38.9154974)",,
191031427,2,residential,50,False,False,99.716,"LINESTRING (20.8908259 38.9155991, 20.8905172 38.9164631)",,
191031427,2,residential,50,False,True,54.66,"LINESTRING (20.8908259 38.9155991, 20.8909866 38.9151237)",,
191031452,2,residential,50,False,False,78.196,"LINESTRING (20.8879926 38.9192032, 20.8879566 38.9192302, 20.8879338 38.9192567, 20.8879047 38.9192996, 20.8876633 38.9197545, 20.8876472 38.9197942, 20.8876285 38.9198422)",,
191031452,2,residential,50,False,True,21.829,"LINESTRING (20.8879926 38.9192032, 20.8881291 38.9191388, 20.8882012 38.9190935)",,
"[570016824, 570008466]",2,residential,50,False,False,98.327,"LINESTRING (20.8879926 38.9192032, 20.8880788 38.9192372, 20.888163 38.9192764, 20.8882955 38.9193507, 20.888333 38.9193861, 20.8883437 38.9194258, 20.8883357 38.919467, 20.8883028 38.9195213, 20.8882199 38.9196116, 20.8881917 38.9196471, 20.8881649 38.9196857, 20.8881408 38.9197399, 20.8880891 38.9198985)",,
191031453,2,residential,50,False,True,29.447,"LINESTRING (20.8890182 38.9179668, 20.8893487 38.9180301)",,
992423872,2,primary,50,False,False,43.04,"LINESTRING (20.8890182 38.9179668, 20.8889499 38.9183502)",Ελευθερίου Βενιζέλου,ΕΟ42
992423872,2,primary,50,False,True,30.659000000000002,"LINESTRING (20.8890182 38.9179668, 20.8890455 38.9177474, 20.8890515 38.9176923)",Ελευθερίου Βενιζέλου,ΕΟ42
