osmid,name,highway,oneway,reversed,length,geometry,tunnel,lanes,ref,maxspeed,access
101333537,ელადის ქუჩა,residential,False,False,253.15,"LINESTRING (45.8096433 41.9490731, 45.8097489 41.9500261, 45.8097936 41.9504305, 45.809911 41.9508597, 45.810029 41.9513282)",,,,,
101333459,Demetre Tavdadebuli st.,residential,False,False,148.095,"LINESTRING (45.813471 41.9445012, 45.812886 41.9444987, 45.8118996 41.9445624, 45.8116842 41.9445672)",,,,,
101333459,Demetre Tavdadebuli st.,residential,False,True,118.565,"LINESTRING (45.813471 41.9445012, 45.8145658 41.9445425, 45.814902 41.9445633)",,,,,
101333714,კოტე მარჯანიშვილის ქუჩა (Kote Marjanishvili St),residential,False,True,20.547,"LINESTRING (45.8134318 41.9502664, 45.8131834 41.9502704)",,,,,
101333416,Kote Marjanishvili St.,residential,False,True,85.098,"LINESTRING (45.8131834 41.9502704, 45.813181 41.9510357)",,,,,
101333714,კოტე მარჯანიშვილის ქუჩა (Kote Marjanishvili St),residential,False,False,20.547,"LINESTRING (45.8131834 41.9502704, 45.8134318 41.9502664)",,,,,
101333416,Kote Marjanishvili St.,residential,False,False,83.265,"LINESTRING (45.8131834 41.9502704, 45.8131842 41.9502316, 45.8132505 41.9495233)",,,,,
101333416,Kote Marjanishvili St.,residential,False,True,123.055,"LINESTRING (45.8133516 41.9484192, 45.8132505 41.9495233)",,,,,
559005620,კუდიგორის ქუჩა,residential,False,False,68.392,"LINESTRING (45.8133516 41.9484192, 45.8129656 41.9484346, 45.81293 41.9481493, 45.8129254 41.9481084)",,,,,
101333713,Kudigora st.,tertiary,False,False,105.82300000000001,"LINESTRING (45.8129254 41.9481084, 45.8125317 41.9481484, 45.8116502 41.948175)",,,,60,
101333713,Kudigora st.,tertiary,False,True,145.67,"LINESTRING (45.8129254 41.9481084, 45.8131884 41.9480912, 45.8135256 41.9480671, 45.8135514 41.9480655, 45.8138376 41.9480476, 45.8139993 41.9480381, 45.8146813 41.9480063)",,,,60,
559005620,კუდიგორის ქუჩა,residential,False,True,68.392,"LINESTRING (45.8129254 41.9481084, 45.81293 41.9481493, 45.8129656 41.9484346, 45.8133516 41.9484192)",,,,,
678453347,Kudigora st.,tertiary,False,True,43.031,"LINESTRING (45.8084972 41.9476494, 45.8090175 41.947652)",,,,60,
560076350,ანდრია ბენაშვილის ქუჩა,residential,False,True,417.67,"LINESTRING (45.8084972 41.9476494, 45.8085358 41.9479887, 45.8085679 41.9482034, 45.8085871 41.948733, 45.8086064 41.9494582, 45.8085871 41.95015, 45.8086449 41.9504458, 45.8087218 41.9509801, 45.8088245 41.9512329, 45.8088757 41.9513803)",,,,,
122257893,დავით აღმაშენებლის გამზირი,tertiary,False,False,138.03800000000004,"LINESTRING (45.8174782 41.9490096, 45.8177663 41.948953, 45.8182707 41.9488506, 45.8183771 41.9488328, 45.8189877 41.9487304, 45.8190182 41.9487253, 45.8190309 41.9487232, 45.8190989 41.9487143)",,2,,50,yes
