osmid,oneway,highway,reversed,length,name,geometry,lanes,junction,ref
251103499,False,residential,True,202.305,Rua Agrario Avelino,"LINESTRING (-42.7292734 -10.8217021, -42.7282813 -10.8201657)",,,
211093043,True,primary,False,23.245,,"LINESTRING (-42.7263547 -10.8217463, -42.7261739 -10.821636)",,,BA-052
808938179,True,primary,False,16.247,,"LINESTRING (-42.7263547 -10.8217463, -42.726362 -10.8216736, -42.7263939 -10.8216076)",1,roundabout,
211093047,True,primary,False,19.551,,"LINESTRING (-42.7267458 -10.8218555, -42.7267766 -10.8220287)",,,
211093045,True,primary,False,16.834000000000003,Avenida Antônio Carlos Magalhães,"LINESTRING (-42.7267458 -10.8218555, -42.7267109 -10.8218925, -42.7266681 -10.8219204, -42.7266198 -10.8219377)",1,roundabout,
248760772,False,residential,True,18.889,,"LINESTRING (-42.7264041 -10.8218665, -42.7263296 -10.8220198)",,,
808938179,True,primary,False,14.59,,"LINESTRING (-42.7264041 -10.8218665, -42.7263698 -10.8218102, -42.7263547 -10.8217463)",1,roundabout,
248760774,False,residential,True,20.651,,"LINESTRING (-42.726495 -10.8219298, -42.7263296 -10.8220198)",,,
808938179,True,primary,False,12.274999999999999,,"LINESTRING (-42.726495 -10.8219298, -42.7264453 -10.821904, -42.7264041 -10.8218665)",1,roundabout,
808938179,True,primary,False,13.806999999999999,,"LINESTRING (-42.7266198 -10.8219377, -42.7265568 -10.8219428, -42.726495 -10.8219298)",1,roundabout,
88302953,False,residential,False,150.63,Rua Pedro Mariani,"LINESTRING (-42.728812 -10.8219916, -42.7295751 -10.82312)",,,
88302953,False,residential,True,152.365,Rua Pedro Mariani,"LINESTRING (-42.728812 -10.8219916, -42.7280289 -10.8208576)",,,
88302986,False,residential,False,39.81,Rua João Guimarães,"LINESTRING (-42.728812 -10.8219916, -42.728503 -10.8221815)",,,
88302986,False,residential,True,59.797,Rua João Guimarães,"LINESTRING (-42.728812 -10.8219916, -42.7292734 -10.8217021)",,,
88302929,False,tertiary,False,149.211,Rua Rui Barbosa,"LINESTRING (-42.7307192 -10.822378, -42.7299235 -10.8212872)",,,
